source_taxon	target_taxon	value
NA	sp_001	0.356948755379647
NA	sp_002	0.188678494834273
NA	sp_003	0.327503642198118
NA	sp_004	0.0340116522192043
NA	sp_005	0.0816175562620674
NA	sp_006	0.101204151703432
NA	sp_007	0.090781951605271
NA	sp_008	0.0052066079074744
NA	sp_009	0.0926818227548469
NA	sp_010	0.299024461495047
NA	sp_011	0.132091160204282
NA	sp_012	0.11058120984006
NA	sp_013	0.0735744856983366
NA	sp_014	0.0732639562449562
NA	sp_015	0.0759855811793372
NA	sp_016	0.221728166917982
NA	sp_017	0.0788778068051696
NA	sp_018	0.113169237135896
NA	sp_019	0.182023656168748
NA	sp_020	0.0521105698029493
sp_001	sp_001	-0.174919989218072
sp_001	sp_002	0
sp_001	sp_003	0
sp_001	sp_004	0
sp_001	sp_005	0
sp_001	sp_006	0
sp_001	sp_007	0
sp_001	sp_008	0.0114510204569245
sp_001	sp_009	-0.0308587637141369
sp_001	sp_010	0
sp_001	sp_011	0
sp_001	sp_012	0
sp_001	sp_013	0
sp_001	sp_014	0
sp_001	sp_015	0
sp_001	sp_016	0
sp_001	sp_017	0
sp_001	sp_018	0
sp_001	sp_019	-0.0239468820985353
sp_001	sp_020	0
sp_002	sp_001	0
sp_002	sp_002	-0.121239693260022
sp_002	sp_003	0
sp_002	sp_004	-0.0167331228097122
sp_002	sp_005	0
sp_002	sp_006	0
sp_002	sp_007	0
sp_002	sp_008	0
sp_002	sp_009	0
sp_002	sp_010	0
sp_002	sp_011	0
sp_002	sp_012	0
sp_002	sp_013	0
sp_002	sp_014	0
sp_002	sp_015	-0.0256967224733199
sp_002	sp_016	0
sp_002	sp_017	-0.123342166352217
sp_002	sp_018	0.0619757245683583
sp_002	sp_019	-0.0372573221024091
sp_002	sp_020	0
sp_003	sp_001	0.0731845404485984
sp_003	sp_002	-0.144945034514849
sp_003	sp_003	-0.179365336121283
sp_003	sp_004	0
sp_003	sp_005	0
sp_003	sp_006	-0.0191037908890051
sp_003	sp_007	0
sp_003	sp_008	0.00299177100124275
sp_003	sp_009	0
sp_003	sp_010	0
sp_003	sp_011	0
sp_003	sp_012	-0.0444541127074461
sp_003	sp_013	0
sp_003	sp_014	0
sp_003	sp_015	0
sp_003	sp_016	0
sp_003	sp_017	0
sp_003	sp_018	0
sp_003	sp_019	0
sp_003	sp_020	0
sp_004	sp_001	0
sp_004	sp_002	0
sp_004	sp_003	0
sp_004	sp_004	-0.0504545293429986
sp_004	sp_005	0
sp_004	sp_006	0
sp_004	sp_007	-0.00112702985961479
sp_004	sp_008	0
sp_004	sp_009	0
sp_004	sp_010	0
sp_004	sp_011	0.0296861756391919
sp_004	sp_012	0
sp_004	sp_013	0
sp_004	sp_014	0
sp_004	sp_015	0
sp_004	sp_016	0
sp_004	sp_017	0
sp_004	sp_018	0
sp_004	sp_019	0
sp_004	sp_020	0
sp_005	sp_001	0
sp_005	sp_002	0
sp_005	sp_003	0
sp_005	sp_004	0
sp_005	sp_005	-0.285503077585082
sp_005	sp_006	0
sp_005	sp_007	0
sp_005	sp_008	0.0050680638710617
sp_005	sp_009	0
sp_005	sp_010	0
sp_005	sp_011	0
sp_005	sp_012	0
sp_005	sp_013	0.129131713375547
sp_005	sp_014	0
sp_005	sp_015	-0.0255083253927751
sp_005	sp_016	0
sp_005	sp_017	0
sp_005	sp_018	0
sp_005	sp_019	0.00070427261748699
sp_005	sp_020	0
sp_006	sp_001	-0.0271910236539213
sp_006	sp_002	0
sp_006	sp_003	0
sp_006	sp_004	0
sp_006	sp_005	-0.0717810839750731
sp_006	sp_006	-0.168698572339557
sp_006	sp_007	0
sp_006	sp_008	0
sp_006	sp_009	0
sp_006	sp_010	0
sp_006	sp_011	0
sp_006	sp_012	0
sp_006	sp_013	0
sp_006	sp_014	0
sp_006	sp_015	0
sp_006	sp_016	0
sp_006	sp_017	0
sp_006	sp_018	0
sp_006	sp_019	0
sp_006	sp_020	0
sp_007	sp_001	0
sp_007	sp_002	0
sp_007	sp_003	0
